iter	RMSE
0	40.56551294
1	38.61490489
2	36.76138725
3	35.00385848
4	33.33838353
5	31.75617709
6	30.26074614
7	28.84489094
8	27.50074009
9	26.22827441
10	25.02171245
11	23.88795785
12	22.8043221
13	21.7777178
14	20.81261789
15	19.89656978
16	19.03389621
17	18.22147758
18	17.45589373
19	16.72927748
20	16.04468703
21	15.39964014
22	14.79084728
23	14.22029536
24	13.68561319
25	13.18242492
26	12.71103709
27	12.26800472
28	11.85540965
29	11.46789131
30	11.10576135
31	10.76975513
32	10.45648186
33	10.16462569
34	9.892425803
35	9.639274593
36	9.40520239
37	9.188177739
38	8.986083733
39	8.799703527
40	8.627037589
41	8.468902273
42	8.321897277
43	8.184005705
44	8.058769071
45	7.942004924
46	7.836230017
47	7.739046034
48	7.650758283
49	7.5696311
50	7.49601013
51	7.427599639
52	7.362844128
53	7.305262329
54	7.251128669
55	7.202539879
56	7.158086388
57	7.114711302
58	7.077438568
59	7.041372456
60	7.0076012
61	6.979086912
62	6.951221925
63	6.925116298
64	6.903403182
65	6.881844696
66	6.86049487
67	6.841673898
68	6.824439186
69	6.808169206
70	6.794308299
71	6.781128796
72	6.768135519
73	6.75678098
74	6.747090665
75	6.73514376
76	6.723419641
77	6.709377766
78	6.699379571
79	6.685286506
80	6.677312547
81	6.668944573
82	6.662805144
83	6.656436488
84	6.64941186
85	6.643814804
86	6.637869333
87	6.632914577
88	6.628117622
89	6.621020688
90	6.614597184
91	6.61002361
92	6.60636211
93	6.601778065
94	6.596890331
95	6.591280512
96	6.587361305
97	6.579886234
98	6.576481503
99	6.571678095
100	6.559781861
101	6.555440687
102	6.547217558
103	6.543391424
104	6.538980975
105	6.534395385
106	6.525705653
107	6.522102382
108	6.517898795
109	6.513236908
110	6.508713304
111	6.498656386
112	6.490766695
113	6.487350078
114	6.480815925
115	6.475854572
116	6.472814745
117	6.467812973
118	6.459275785
119	6.455749151
120	6.450496265
121	6.446463562
122	6.442187011
123	6.437298103
124	6.433887014
125	6.426916354
126	6.423700284
127	6.419751426
128	6.417385706
129	6.41308537
130	6.406962877
131	6.402914796
132	6.394658774
133	6.390701422
134	6.387133873
135	6.383434267
136	6.379139515
137	6.376207052
138	6.372405363
139	6.368961691
140	6.365946949
141	6.360337269
142	6.355984294
143	6.352895531
144	6.350000087
145	6.346751209
146	6.342268586
147	6.335941504
148	6.332895024
149	6.33005746
150	6.326687062
151	6.320224544
152	6.315360662
153	6.30598409
154	6.302390498
155	6.296150742
156	6.293560067
157	6.290209809
158	6.287281035
159	6.279988964
160	6.276921518
161	6.273496528
162	6.270416995
163	6.266908326
164	6.264449934
165	6.261086824
166	6.258547729
167	6.256160622
168	6.253975441
169	6.248624104
170	6.245248809
171	6.242828593
172	6.239940274
173	6.233271629
174	6.230752488
175	6.228213015
176	6.226520853
177	6.222742218
178	6.217972685
179	6.213727936
180	6.208422923
181	6.206063756
182	6.20344711
183	6.20136554
184	6.198587166
185	6.195803093
186	6.193225555
187	6.189993197
188	6.186201148
189	6.184163983
190	6.181855918
191	6.178441702
192	6.176497034
193	6.174469697
194	6.168997516
195	6.167096469
196	6.1645175
197	6.159855792
198	6.1577078
199	6.155444212
200	6.149569595
201	6.147746237
202	6.143515344
203	6.136610024
204	6.131729623
205	6.128722697
206	6.124446382
207	6.120629684
208	6.1150282
209	6.112010352
210	6.108206963
211	6.105657843
212	6.103988861
213	6.099716999
214	6.096832137
215	6.093859684
216	6.09112357
217	6.085923624
218	6.082951634
219	6.078132127
220	6.075436116
221	6.070092007
222	6.068428082
223	6.066430883
224	6.064137376
225	6.062519963
226	6.060256542
227	6.056525524
228	6.053469569
229	6.051700909
230	6.050103443
231	6.048170198
232	6.046272286
233	6.044417051
234	6.039840717
235	6.036915707
236	6.035039858
237	6.030696024
238	6.025497484
239	6.023424933
240	6.020376911
241	6.018597292
242	6.017211731
243	6.015457274
244	6.013018834
245	6.011478621
246	6.007575652
247	6.005263246
248	6.002398356
249	5.998295804
250	5.995923653
251	5.994167616
252	5.992615742
253	5.990444748
254	5.987954695
255	5.986991391
256	5.981620956
257	5.979692329
258	5.97795408
259	5.973779907
260	5.972415403
261	5.970724689
262	5.969726629
263	5.965684076
264	5.96324388
265	5.95870899
266	5.957142529
267	5.95522164
268	5.951941631
269	5.950213302
270	5.947083057
271	5.944843406
272	5.943079024
273	5.941148746
274	5.939808185
275	5.937017986
276	5.933520447
277	5.930710277
278	5.928176662
279	5.926165273
280	5.921646015
281	5.919858976
282	5.916809172
283	5.914672222
284	5.912828862
285	5.911591339
286	5.909196063
287	5.907992346
288	5.906485516
289	5.904643675
290	5.902051085
291	5.899252504
292	5.89714181
293	5.89523401
294	5.89421873
295	5.892465462
296	5.890931613
297	5.88929394
298	5.888045863
299	5.884273928
