iter	Passed	Remaining
0	336	100583
1	648	96683
2	933	92380
3	1212	89693
4	1594	94070
5	2015	98780
6	2313	96856
7	2652	96805
8	2942	95150
9	3230	93684
10	3541	93042
11	3830	91941
12	4098	90486
13	4385	89583
14	4669	88727
15	4998	88726
16	5274	87811
17	5585	87512
18	5855	86600
19	6161	86266
20	6554	87087
21	7016	88658
22	7430	89491
23	7780	89480
24	8084	88927
25	8370	88216
26	8688	87852
27	9064	88057
28	9552	89262
29	10060	90543
30	10378	90057
31	10684	89480
32	11014	89120
33	11319	88559
34	11661	88292
35	11972	87798
36	12316	87548
37	12682	87440
38	12956	86708
39	13253	86145
40	13553	85616
41	13808	84820
42	14049	83969
43	14374	83632
44	14738	83518
45	15002	82839
46	15296	82339
47	15601	81908
48	15886	81377
49	16182	80913
50	16489	80508
51	16760	79934
52	17097	79681
53	17399	79266
54	17678	78748
55	18124	78969
56	18418	78519
57	18754	78250
58	19040	77773
59	19295	77181
60	19605	76816
61	19862	76246
62	20132	75736
63	20466	75471
64	20747	75008
65	21041	74601
66	21382	74359
67	21715	74087
68	22158	74182
69	22424	73682
70	22683	73160
71	22935	72628
72	23239	72265
73	23547	71916
74	23791	71374
75	24047	70877
76	24324	70445
77	24637	70121
78	24934	69754
79	25255	69452
80	25627	69289
81	25960	69018
82	26262	68661
83	26558	68292
84	26819	67838
85	27049	67309
86	27319	66885
87	27622	66544
88	27848	66023
89	28129	65635
90	28473	65395
91	28755	65012
92	29063	64690
93	29341	64302
94	29895	64512
95	30218	64214
96	30574	63984
97	30986	63869
98	31264	63476
99	31573	63146
100	31845	62744
101	32101	62314
102	32388	61947
103	32663	61558
104	32908	61116
105	33261	60874
106	33586	60581
107	33829	60141
108	34096	59747
109	34394	59409
110	34732	59138
111	35041	58819
112	35360	58517
113	35726	58291
114	36036	57970
115	36342	57647
116	36649	57323
117	36944	56981
118	37222	56615
119	37484	56226
120	37758	55857
121	38042	55504
122	38327	55154
123	38659	54871
124	38927	54498
125	39214	54153
126	39556	53884
127	39927	53652
128	40203	53292
129	40590	53080
130	40914	52782
131	41158	52383
132	41449	52045
133	41742	51710
134	42028	51367
135	42311	51022
136	42592	50676
137	42825	50273
138	43111	49934
139	43404	49604
140	43725	49307
141	44028	48989
142	44333	48673
143	44648	48369
144	44969	48070
145	45347	47832
146	45712	47578
147	46037	47281
148	46355	46977
149	46677	46677
150	46935	46313
151	47253	46009
152	47578	45712
153	47857	45371
154	48163	45056
155	48464	44736
156	48776	44427
157	49152	44174
158	49582	43969
159	49968	43722
160	50318	43442
161	50646	43143
162	50946	42820
163	51228	42481
164	51496	42133
165	51767	41788
166	52048	41452
167	52370	41148
168	52656	40816
169	52966	40503
170	53271	40187
171	53655	39929
172	53981	39627
173	54307	39326
174	54664	39046
175	54993	38745
176	55241	38388
177	55546	38071
178	55866	37764
179	56200	37467
180	56500	37146
181	56853	36860
182	57132	36527
183	57385	36177
184	57707	35872
185	58000	35548
186	58333	35249
187	58678	34957
188	58997	34649
189	59281	34320
190	59648	34039
191	60112	33813
192	60410	33491
193	60854	33250
194	61281	32997
195	61629	32701
196	61929	32379
197	62308	32098
198	62642	31793
199	62943	31471
200	63272	31164
201	63639	30874
202	63955	30559
203	64311	30264
204	64653	29961
205	64977	29650
206	65277	29327
207	65604	29017
208	65921	28702
209	66225	28382
210	66519	28057
211	66805	27730
212	67091	27403
213	67429	27097
214	67787	26799
215	68156	26505
216	68478	26192
217	68845	25896
218	69180	25587
219	69533	25284
220	69829	24961
221	70141	24644
222	70478	24335
223	70772	24012
224	71044	23681
225	71295	23344
226	71620	23032
227	71906	22707
228	72186	22381
229	72549	22080
230	72888	21771
231	73228	21463
232	73582	21158
233	73908	20845
234	74203	20524
235	74496	20202
236	74774	19876
237	75085	19560
238	75391	19242
239	75717	18929
240	76008	18607
241	76243	18273
242	76523	17950
243	76785	17622
244	77108	17309
245	77436	16998
246	77826	16699
247	78209	16398
248	78599	16098
249	78921	15784
250	79201	15461
251	79482	15139
252	79813	14826
253	80099	14506
254	80381	14184
255	80709	13872
256	80999	13552
257	81301	13235
258	81630	12922
259	81923	12603
260	82244	12289
261	82636	11985
262	83006	11677
263	83373	11369
264	83705	11055
265	84009	10738
266	84316	10421
267	84609	10102
268	84920	9786
269	85195	9466
270	85529	9152
271	85859	8838
272	86192	8524
273	86497	8207
274	86850	7895
275	87204	7582
276	87589	7272
277	87923	6957
278	88266	6643
279	88614	6329
280	88936	6013
281	89281	5698
282	89642	5384
283	89985	5069
284	90321	4753
285	90671	4438
286	91005	4122
287	91354	3806
288	91767	3492
289	92222	3180
290	92547	2862
291	92875	2544
292	93201	2226
293	93512	1908
294	93806	1589
295	94148	1272
296	94460	954
297	94772	636
298	95070	317
299	95398	0
