बाजार समिती,जात/प्रत,परिमाण,आवक,कमीत कमी दर,जास्तीत जास्त दर,सर्वसाधारण दर
10/09/2025,,,,,,
अकलुज,---,क्विंटल,385,200,1600,1000
कोल्हापूर,---,क्विंटल,4918,500,1800,1000
अकोला,---,क्विंटल,503,600,1600,1200
चंद्रपूर - गंजवड,---,क्विंटल,340,1800,3000,2200
मुंबई - कांदा बटाटा मार्केट,---,क्विंटल,9998,1000,1600,1300
खेड-चाकण,---,क्विंटल,750,800,1500,1200
सातारा,---,क्विंटल,436,1000,2000,1500
कराड,हालवा,क्विंटल,75,500,1600,1600
धाराशिव,लाल,क्विंटल,66,500,1600,1050
नागपूर,लाल,क्विंटल,1820,1000,1600,1450
शिरपूर,लाल,क्विंटल,405,151,1300,900
अमरावती- फळ आणि भाजीपाला,लोकल,क्विंटल,309,800,3000,1900
पुणे,लोकल,क्विंटल,10607,500,1600,1050
पुणे- खडकी,लोकल,क्विंटल,11,1300,1300,1300
पुणे -पिंपरी,लोकल,क्विंटल,15,800,1800,1300
पुणे-मांजरी,लोकल,क्विंटल,117,800,1200,1000
वडगाव पेठ,लोकल,क्विंटल,250,1000,1800,1400
कर्जत (अहमहदनगर),लोकल,क्विंटल,150,200,1500,1000
मंगळवेढा,लोकल,क्विंटल,245,100,2000,1300
कामठी,लोकल,क्विंटल,16,1510,2010,1760
कल्याण,नं. १,क्विंटल,3,1400,1500,1450
कल्याण,नं. २,क्विंटल,3,1100,1300,1200
नागपूर,पांढरा,क्विंटल,2000,1500,2000,1875
येवला,उन्हाळी,क्विंटल,7000,181,1340,900
येवला -आंदरसूल,उन्हाळी,क्विंटल,4000,250,1231,950
नाशिक,उन्हाळी,क्विंटल,2941,260,1351,1050
लासलगाव,उन्हाळी,क्विंटल,8676,500,1670,1251
लासलगाव - विंचूर,उन्हाळी,क्विंटल,12446,500,1640,1275
मालेगाव-मुंगसे,उन्हाळी,क्विंटल,12500,200,1456,1050
सिन्नर,उन्हाळी,क्विंटल,1499,100,1350,1150
संगमनेर,उन्हाळी,क्विंटल,5278,200,1801,1000
मनमाड,उन्हाळी,क्विंटल,2200,300,1224,1000
सटाणा,उन्हाळी,क्विंटल,12845,200,2000,1100
कोपरगाव,उन्हाळी,क्विंटल,7216,500,1490,1125
पिंपळगाव बसवंत,उन्हाळी,क्विंटल,17100,400,1725,1200
पिंपळगाव(ब) - सायखेडा,उन्हाळी,क्विंटल,4530,600,1312,1000
पारनेर,उन्हाळी,क्विंटल,10326,200,1900,1000
साक्री,उन्हाळी,क्विंटल,14180,550,1285,1000
भुसावळ,उन्हाळी,क्विंटल,21,800,1200,1100
रामटेक,उन्हाळी,क्विंटल,11,1400,1600,1500
देवळा,उन्हाळी,क्विंटल,6250,200,1500,1150
उमराणे,उन्हाळी,क्विंटल,12500,500,1450,1200
नामपूर,उन्हाळी,क्विंटल,10000,250,1450,1100
नामपूर- करंजाड,उन्हाळी,क्विंटल,10500,200,1400,1100
09/09/2025,,,,,,
कोल्हापूर,---,क्विंटल,3296,500,1800,1000
जालना,---,क्विंटल,1200,300,1700,900
छत्रपती संभाजीनगर,---,क्विंटल,2475,250,1300,775
चंद्रपूर - गंजवड,---,क्विंटल,400,1800,2800,2500
राहूरी,---,क्विंटल,37113,100,1700,900
मुंबई - कांदा बटाटा मार्केट,---,क्विंटल,9214,1100,1700,1400
खेड-चाकण,---,क्विंटल,400,1000,1700,1500
मंचर,---,क्विंटल,9444,1300,1550,1425
लासूर स्टेशन,---,क्विंटल,13200,100,1440,900
दौंड-केडगाव,---,क्विंटल,3384,200,1800,1300
