बाजार समिती,जात/प्रत,परिमाण,आवक,कमीत कमी दर,जास्तीत जास्त दर,सर्वसाधारण दर,Date
छत्रपती संभाजीनगर,---,क्विंटल,6717,100,1100,600,"कृपया शेतमाल निवडा :
शेतमाल निवडा
अंजीर
अंजीर (सुके)
अंबाडी भाजी
अननस
अर्वी
अवाकाडो
अस्टर
आंबट चुका
आईसबर्ग
आले
आले (सुंठ)
आवळा
आवळा
उडीद
उडीद डाळ
उस
एरंडी
कडबा
कढिपत्ता
करडई
करडई (भाजी)
कलिंगड
कांदा
कांदा पात
काकडी
कागडा
काजू
कारली
कार्नेशन
कालवड
कुलथी
केळी
केळी (कच्ची)
कैरी
कोंबडी
कोथिंबिर
कोबी
कोहळा
खपली
खरबुज
गलटॅाप
गवार
गहू
गाजर
गाय
गुलछडी/निशिगंध
गुलाब
गुळ
गोल्डन / डि.जी
ग्लॅडीओ
घेवडा
घेवडा बी
घोसाळी (भाजी)
चवळी (पाला)
चवळी (शेंगा)
चवळी बी
चाकवत
चाफा
चायना कोबी
चायनिझ लसूण
चिंच
चिकु
चेरी टोमॅटो
जरबेरा
जवस
जास्वंद
जिप्सि
जिरे
जुई
ज्वारी
झुचीनी
झेंडू
टरबूज
टॅटस
टोमॅटो
डाळींब
ढेमसे
ढोबळी मिरची (लाल)
ढोवळी मिरची
तांदुळजा
तांदूळ
तील
तुळजापुरी
तूप
तूर
तूर डाळ
तोंडली
दालचिनी
दुधी भोपळा
दोडका (शिराळी)
द्राक्ष
धने
नवलकोल
नाचणी/ नागली
नारळ
नासपती
पडवळ
पपई
पपई (भाजी)
परवर
पालक
पावटा
पावटा (भाजी)
पिकेडोर
पिस्ता
पुदिना
पेअर
पेरु
पोकचा
प्लम
फणस (भाजी)
फरशी
फरस बी
फ्लॉवर
बकरा
बटबटी
बटाटा
बडिशेप
बदाम
बाजरी
बिजली
बीट
बेदाणा
बेबी कॉर्न
बैल
बोकड
बोर
ब्रोकोली
भगर
भात - धान
भुईमुग शेंग (ओली)
भुईमुग शेंग (सुकी)
भेडी
भोपळा
मका
मका (कणीस)
मटकी
मटार
मसूर
मसूर डाळ
मिरची (लाल)
मिरची (हिरवी)
मिरे
मुळा
मूग
मूग डाळ
मेंढ्या
मेथी बी
मेथी भाजी
मोगरा
मोसंबी
मोहरी
म्हैस
रताळी
राई(मोहरी भाजी)
राजगिरा
राजगिरा
रेडा
रेशीम कोष
लसूण
लसूण (सुका)
लिंबू
वांगी
वाटाणा
वाल
वाल पापडी
वाल भाजी
वालवड
वेलची
शहाळे
शेंगदाणे
शेपू
शेळ्या
शेवंती
शेवगा
संत्री
सफरचंद
सरसव
साखर
साबुदाणा
सिताफळ
सुपारी
सुरण
सुर्यफुल
सॅलड
सोयाबिन
हरभरा
हरभरा डाळ
हळद/ हळकुंड"
दौंड-केडगाव,---,क्विंटल,1962,300,1700,1000,"कृपया शेतमाल निवडा :
शेतमाल निवडा
अंजीर
अंजीर (सुके)
अंबाडी भाजी
अननस
अर्वी
अवाकाडो
अस्टर
आंबट चुका
आईसबर्ग
आले
आले (सुंठ)
आवळा
आवळा
उडीद
उडीद डाळ
उस
एरंडी
कडबा
कढिपत्ता
करडई
करडई (भाजी)
कलिंगड
कांदा
कांदा पात
काकडी
कागडा
काजू
कारली
कार्नेशन
कालवड
कुलथी
केळी
केळी (कच्ची)
कैरी
कोंबडी
कोथिंबिर
कोबी
कोहळा
खपली
खरबुज
गलटॅाप
गवार
गहू
गाजर
गाय
गुलछडी/निशिगंध
गुलाब
गुळ
गोल्डन / डि.जी
ग्लॅडीओ
घेवडा
घेवडा बी
घोसाळी (भाजी)
चवळी (पाला)
चवळी (शेंगा)
चवळी बी
चाकवत
चाफा
चायना कोबी
चायनिझ लसूण
चिंच
चिकु
चेरी टोमॅटो
जरबेरा
जवस
जास्वंद
जिप्सि
जिरे
जुई
ज्वारी
झुचीनी
झेंडू
टरबूज
टॅटस
टोमॅटो
डाळींब
ढेमसे
ढोबळी मिरची (लाल)
ढोवळी मिरची
तांदुळजा
तांदूळ
तील
तुळजापुरी
तूप
तूर
तूर डाळ
तोंडली
दालचिनी
दुधी भोपळा
दोडका (शिराळी)
द्राक्ष
धने
नवलकोल
नाचणी/ नागली
नारळ
नासपती
पडवळ
पपई
पपई (भाजी)
परवर
पालक
पावटा
पावटा (भाजी)
पिकेडोर
पिस्ता
पुदिना
पेअर
पेरु
पोकचा
प्लम
फणस (भाजी)
फरशी
फरस बी
फ्लॉवर
बकरा
बटबटी
बटाटा
बडिशेप
बदाम
बाजरी
बिजली
बीट
बेदाणा
बेबी कॉर्न
बैल
बोकड
बोर
ब्रोकोली
भगर
भात - धान
भुईमुग शेंग (ओली)
भुईमुग शेंग (सुकी)
भेडी
भोपळा
मका
मका (कणीस)
मटकी
मटार
मसूर
मसूर डाळ
मिरची (लाल)
मिरची (हिरवी)
मिरे
मुळा
मूग
मूग डाळ
मेंढ्या
मेथी बी
मेथी भाजी
मोगरा
मोसंबी
मोहरी
म्हैस
रताळी
राई(मोहरी भाजी)
राजगिरा
राजगिरा
रेडा
रेशीम कोष
लसूण
लसूण (सुका)
लिंबू
वांगी
वाटाणा
वाल
वाल पापडी
वाल भाजी
वालवड
वेलची
शहाळे
शेंगदाणे
शेपू
शेळ्या
शेवंती
शेवगा
संत्री
सफरचंद
सरसव
साखर
साबुदाणा
सिताफळ
सुपारी
सुरण
सुर्यफुल
सॅलड
सोयाबिन
हरभरा
हरभरा डाळ
हळद/ हळकुंड"
शिरुर-कांदा मार्केट,---,क्विंटल,1214,300,1600,1250,"कृपया शेतमाल निवडा :
शेतमाल निवडा
अंजीर
अंजीर (सुके)
अंबाडी भाजी
अननस
अर्वी
अवाकाडो
अस्टर
आंबट चुका
आईसबर्ग
आले
आले (सुंठ)
आवळा
आवळा
उडीद
उडीद डाळ
उस
एरंडी
कडबा
कढिपत्ता
करडई
करडई (भाजी)
कलिंगड
कांदा
कांदा पात
काकडी
कागडा
काजू
कारली
कार्नेशन
कालवड
कुलथी
केळी
केळी (कच्ची)
कैरी
कोंबडी
कोथिंबिर
कोबी
कोहळा
खपली
खरबुज
गलटॅाप
गवार
गहू
गाजर
गाय
गुलछडी/निशिगंध
गुलाब
गुळ
गोल्डन / डि.जी
ग्लॅडीओ
घेवडा
घेवडा बी
घोसाळी (भाजी)
चवळी (पाला)
चवळी (शेंगा)
चवळी बी
चाकवत
चाफा
चायना कोबी
चायनिझ लसूण
चिंच
चिकु
चेरी टोमॅटो
जरबेरा
जवस
जास्वंद
जिप्सि
जिरे
जुई
ज्वारी
झुचीनी
झेंडू
टरबूज
टॅटस
टोमॅटो
डाळींब
ढेमसे
ढोबळी मिरची (लाल)
ढोवळी मिरची
तांदुळजा
तांदूळ
तील
तुळजापुरी
तूप
तूर
तूर डाळ
तोंडली
दालचिनी
दुधी भोपळा
दोडका (शिराळी)
द्राक्ष
धने
नवलकोल
नाचणी/ नागली
नारळ
नासपती
पडवळ
पपई
पपई (भाजी)
परवर
पालक
पावटा
पावटा (भाजी)
पिकेडोर
पिस्ता
पुदिना
पेअर
पेरु
पोकचा
प्लम
फणस (भाजी)
फरशी
फरस बी
फ्लॉवर
बकरा
बटबटी
बटाटा
बडिशेप
बदाम
बाजरी
बिजली
बीट
बेदाणा
बेबी कॉर्न
बैल
बोकड
बोर
ब्रोकोली
भगर
भात - धान
भुईमुग शेंग (ओली)
भुईमुग शेंग (सुकी)
भेडी
भोपळा
मका
मका (कणीस)
मटकी
मटार
मसूर
मसूर डाळ
मिरची (लाल)
मिरची (हिरवी)
मिरे
मुळा
मूग
मूग डाळ
मेंढ्या
मेथी बी
मेथी भाजी
मोगरा
मोसंबी
मोहरी
म्हैस
रताळी
राई(मोहरी भाजी)
राजगिरा
राजगिरा
रेडा
रेशीम कोष
लसूण
लसूण (सुका)
लिंबू
वांगी
वाटाणा
वाल
वाल पापडी
वाल भाजी
वालवड
वेलची
शहाळे
शेंगदाणे
शेपू
शेळ्या
शेवंती
शेवगा
संत्री
सफरचंद
सरसव
साखर
साबुदाणा
सिताफळ
सुपारी
सुरण
सुर्यफुल
सॅलड
सोयाबिन
हरभरा
हरभरा डाळ
हळद/ हळकुंड"
सातारा,---,क्विंटल,270,1000,2000,1500,"कृपया शेतमाल निवडा :
शेतमाल निवडा
अंजीर
अंजीर (सुके)
अंबाडी भाजी
अननस
अर्वी
अवाकाडो
अस्टर
आंबट चुका
आईसबर्ग
आले
आले (सुंठ)
आवळा
आवळा
उडीद
उडीद डाळ
उस
एरंडी
कडबा
कढिपत्ता
करडई
करडई (भाजी)
कलिंगड
कांदा
कांदा पात
काकडी
कागडा
काजू
कारली
कार्नेशन
कालवड
कुलथी
केळी
केळी (कच्ची)
कैरी
कोंबडी
कोथिंबिर
कोबी
कोहळा
खपली
खरबुज
गलटॅाप
गवार
गहू
गाजर
गाय
गुलछडी/निशिगंध
गुलाब
गुळ
गोल्डन / डि.जी
ग्लॅडीओ
घेवडा
घेवडा बी
घोसाळी (भाजी)
चवळी (पाला)
चवळी (शेंगा)
चवळी बी
चाकवत
चाफा
चायना कोबी
चायनिझ लसूण
चिंच
चिकु
चेरी टोमॅटो
जरबेरा
जवस
जास्वंद
जिप्सि
जिरे
जुई
ज्वारी
झुचीनी
झेंडू
टरबूज
टॅटस
टोमॅटो
डाळींब
ढेमसे
ढोबळी मिरची (लाल)
ढोवळी मिरची
तांदुळजा
तांदूळ
तील
तुळजापुरी
तूप
तूर
तूर डाळ
तोंडली
दालचिनी
दुधी भोपळा
दोडका (शिराळी)
द्राक्ष
धने
नवलकोल
नाचणी/ नागली
नारळ
नासपती
पडवळ
पपई
पपई (भाजी)
परवर
पालक
पावटा
पावटा (भाजी)
पिकेडोर
पिस्ता
पुदिना
पेअर
पेरु
पोकचा
प्लम
फणस (भाजी)
फरशी
फरस बी
फ्लॉवर
बकरा
बटबटी
बटाटा
बडिशेप
बदाम
बाजरी
बिजली
बीट
बेदाणा
बेबी कॉर्न
बैल
बोकड
बोर
ब्रोकोली
भगर
भात - धान
भुईमुग शेंग (ओली)
भुईमुग शेंग (सुकी)
भेडी
भोपळा
मका
मका (कणीस)
मटकी
मटार
मसूर
मसूर डाळ
मिरची (लाल)
मिरची (हिरवी)
मिरे
मुळा
मूग
मूग डाळ
मेंढ्या
मेथी बी
मेथी भाजी
मोगरा
मोसंबी
मोहरी
म्हैस
रताळी
राई(मोहरी भाजी)
राजगिरा
राजगिरा
रेडा
रेशीम कोष
लसूण
लसूण (सुका)
लिंबू
वांगी
वाटाणा
वाल
वाल पापडी
वाल भाजी
वालवड
वेलची
शहाळे
शेंगदाणे
शेपू
शेळ्या
शेवंती
शेवगा
संत्री
सफरचंद
सरसव
साखर
साबुदाणा
सिताफळ
सुपारी
सुरण
सुर्यफुल
सॅलड
सोयाबिन
हरभरा
हरभरा डाळ
हळद/ हळकुंड"
राहता,---,क्विंटल,4268,300,1400,700,"कृपया शेतमाल निवडा :
शेतमाल निवडा
अंजीर
अंजीर (सुके)
अंबाडी भाजी
अननस
अर्वी
अवाकाडो
अस्टर
आंबट चुका
आईसबर्ग
आले
आले (सुंठ)
आवळा
आवळा
उडीद
उडीद डाळ
उस
एरंडी
कडबा
कढिपत्ता
करडई
करडई (भाजी)
कलिंगड
कांदा
कांदा पात
काकडी
कागडा
काजू
कारली
कार्नेशन
कालवड
कुलथी
केळी
केळी (कच्ची)
कैरी
कोंबडी
कोथिंबिर
कोबी
कोहळा
खपली
खरबुज
गलटॅाप
गवार
गहू
गाजर
गाय
गुलछडी/निशिगंध
गुलाब
गुळ
गोल्डन / डि.जी
ग्लॅडीओ
घेवडा
घेवडा बी
घोसाळी (भाजी)
चवळी (पाला)
चवळी (शेंगा)
चवळी बी
चाकवत
चाफा
चायना कोबी
चायनिझ लसूण
चिंच
चिकु
चेरी टोमॅटो
जरबेरा
जवस
जास्वंद
जिप्सि
जिरे
जुई
ज्वारी
झुचीनी
झेंडू
टरबूज
टॅटस
टोमॅटो
डाळींब
ढेमसे
ढोबळी मिरची (लाल)
ढोवळी मिरची
तांदुळजा
तांदूळ
तील
तुळजापुरी
तूप
तूर
तूर डाळ
तोंडली
दालचिनी
दुधी भोपळा
दोडका (शिराळी)
द्राक्ष
धने
नवलकोल
नाचणी/ नागली
नारळ
नासपती
पडवळ
पपई
पपई (भाजी)
परवर
पालक
पावटा
पावटा (भाजी)
पिकेडोर
पिस्ता
पुदिना
पेअर
पेरु
पोकचा
प्लम
फणस (भाजी)
फरशी
फरस बी
फ्लॉवर
बकरा
बटबटी
बटाटा
बडिशेप
बदाम
बाजरी
बिजली
बीट
बेदाणा
बेबी कॉर्न
बैल
बोकड
बोर
ब्रोकोली
भगर
भात - धान
भुईमुग शेंग (ओली)
भुईमुग शेंग (सुकी)
भेडी
भोपळा
मका
मका (कणीस)
मटकी
मटार
मसूर
मसूर डाळ
मिरची (लाल)
मिरची (हिरवी)
मिरे
मुळा
मूग
मूग डाळ
मेंढ्या
मेथी बी
मेथी भाजी
मोगरा
मोसंबी
मोहरी
म्हैस
रताळी
राई(मोहरी भाजी)
राजगिरा
राजगिरा
रेडा
रेशीम कोष
लसूण
लसूण (सुका)
लिंबू
वांगी
वाटाणा
वाल
वाल पापडी
वाल भाजी
वालवड
वेलची
शहाळे
शेंगदाणे
शेपू
शेळ्या
शेवंती
शेवगा
संत्री
सफरचंद
सरसव
साखर
साबुदाणा
सिताफळ
सुपारी
सुरण
सुर्यफुल
सॅलड
सोयाबिन
हरभरा
हरभरा डाळ
हळद/ हळकुंड"
पुणे,लोकल,क्विंटल,11878,4000,15000,9500,"कृपया शेतमाल निवडा :
शेतमाल निवडा
अंजीर
अंजीर (सुके)
अंबाडी भाजी
अननस
अर्वी
अवाकाडो
अस्टर
आंबट चुका
आईसबर्ग
आले
आले (सुंठ)
आवळा
आवळा
उडीद
उडीद डाळ
उस
एरंडी
कडबा
कढिपत्ता
करडई
करडई (भाजी)
कलिंगड
कांदा
कांदा पात
काकडी
कागडा
काजू
कारली
कार्नेशन
कालवड
कुलथी
केळी
केळी (कच्ची)
कैरी
कोंबडी
कोथिंबिर
कोबी
कोहळा
खपली
खरबुज
गलटॅाप
गवार
गहू
गाजर
गाय
गुलछडी/निशिगंध
गुलाब
गुळ
गोल्डन / डि.जी
ग्लॅडीओ
घेवडा
घेवडा बी
घोसाळी (भाजी)
चवळी (पाला)
चवळी (शेंगा)
चवळी बी
चाकवत
चाफा
चायना कोबी
चायनिझ लसूण
चिंच
चिकु
चेरी टोमॅटो
जरबेरा
जवस
जास्वंद
जिप्सि
जिरे
जुई
ज्वारी
झुचीनी
झेंडू
टरबूज
टॅटस
टोमॅटो
डाळींब
ढेमसे
ढोबळी मिरची (लाल)
ढोवळी मिरची
तांदुळजा
तांदूळ
तील
तुळजापुरी
तूप
तूर
तूर डाळ
तोंडली
दालचिनी
दुधी भोपळा
दोडका (शिराळी)
द्राक्ष
धने
नवलकोल
नाचणी/ नागली
नारळ
नासपती
पडवळ
पपई
पपई (भाजी)
परवर
पालक
पावटा
पावटा (भाजी)
पिकेडोर
पिस्ता
पुदिना
पेअर
पेरु
पोकचा
प्लम
फणस (भाजी)
फरशी
फरस बी
फ्लॉवर
बकरा
बटबटी
बटाटा
बडिशेप
बदाम
बाजरी
बिजली
बीट
बेदाणा
बेबी कॉर्न
बैल
बोकड
बोर
ब्रोकोली
भगर
भात - धान
भुईमुग शेंग (ओली)
भुईमुग शेंग (सुकी)
भेडी
भोपळा
मका
मका (कणीस)
मटकी
मटार
मसूर
मसूर डाळ
मिरची (लाल)
मिरची (हिरवी)
मिरे
मुळा
मूग
मूग डाळ
मेंढ्या
मेथी बी
मेथी भाजी
मोगरा
मोसंबी
मोहरी
म्हैस
रताळी
राई(मोहरी भाजी)
राजगिरा
राजगिरा
रेडा
रेशीम कोष
लसूण
लसूण (सुका)
लिंबू
वांगी
वाटाणा
वाल
वाल पापडी
वाल भाजी
वालवड
वेलची
शहाळे
शेंगदाणे
शेपू
शेळ्या
शेवंती
शेवगा
संत्री
सफरचंद
सरसव
साखर
साबुदाणा
सिताफळ
सुपारी
सुरण
सुर्यफुल
सॅलड
सोयाबिन
हरभरा
हरभरा डाळ
हळद/ हळकुंड"
पुणे- खडकी,लोकल,क्विंटल,9,1300,1300,1300,"कृपया शेतमाल निवडा :
शेतमाल निवडा
अंजीर
अंजीर (सुके)
अंबाडी भाजी
अननस
अर्वी
अवाकाडो
अस्टर
आंबट चुका
आईसबर्ग
आले
आले (सुंठ)
आवळा
आवळा
उडीद
उडीद डाळ
उस
एरंडी
कडबा
कढिपत्ता
करडई
करडई (भाजी)
कलिंगड
कांदा
कांदा पात
काकडी
कागडा
काजू
कारली
कार्नेशन
कालवड
कुलथी
केळी
केळी (कच्ची)
कैरी
कोंबडी
कोथिंबिर
कोबी
कोहळा
खपली
खरबुज
गलटॅाप
गवार
गहू
गाजर
गाय
गुलछडी/निशिगंध
गुलाब
गुळ
गोल्डन / डि.जी
ग्लॅडीओ
घेवडा
घेवडा बी
घोसाळी (भाजी)
चवळी (पाला)
चवळी (शेंगा)
चवळी बी
चाकवत
चाफा
चायना कोबी
चायनिझ लसूण
चिंच
चिकु
चेरी टोमॅटो
जरबेरा
जवस
जास्वंद
जिप्सि
जिरे
जुई
ज्वारी
झुचीनी
झेंडू
टरबूज
टॅटस
टोमॅटो
डाळींब
ढेमसे
ढोबळी मिरची (लाल)
ढोवळी मिरची
तांदुळजा
तांदूळ
तील
तुळजापुरी
तूप
तूर
तूर डाळ
तोंडली
दालचिनी
दुधी भोपळा
दोडका (शिराळी)
द्राक्ष
धने
नवलकोल
नाचणी/ नागली
नारळ
नासपती
पडवळ
पपई
पपई (भाजी)
परवर
पालक
पावटा
पावटा (भाजी)
पिकेडोर
पिस्ता
पुदिना
पेअर
पेरु
पोकचा
प्लम
फणस (भाजी)
फरशी
फरस बी
फ्लॉवर
बकरा
बटबटी
बटाटा
बडिशेप
बदाम
बाजरी
बिजली
बीट
बेदाणा
बेबी कॉर्न
बैल
बोकड
बोर
ब्रोकोली
भगर
भात - धान
भुईमुग शेंग (ओली)
भुईमुग शेंग (सुकी)
भेडी
भोपळा
मका
मका (कणीस)
मटकी
मटार
मसूर
मसूर डाळ
मिरची (लाल)
मिरची (हिरवी)
मिरे
मुळा
मूग
मूग डाळ
मेंढ्या
मेथी बी
मेथी भाजी
मोगरा
मोसंबी
मोहरी
म्हैस
रताळी
राई(मोहरी भाजी)
राजगिरा
राजगिरा
रेडा
रेशीम कोष
लसूण
लसूण (सुका)
लिंबू
वांगी
वाटाणा
वाल
वाल पापडी
वाल भाजी
वालवड
वेलची
शहाळे
शेंगदाणे
शेपू
शेळ्या
शेवंती
शेवगा
संत्री
सफरचंद
सरसव
साखर
साबुदाणा
सिताफळ
सुपारी
सुरण
सुर्यफुल
सॅलड
सोयाबिन
हरभरा
हरभरा डाळ
हळद/ हळकुंड"
पुणे -पिंपरी,लोकल,क्विंटल,22,900,1600,1250,"कृपया शेतमाल निवडा :
शेतमाल निवडा
अंजीर
अंजीर (सुके)
अंबाडी भाजी
अननस
अर्वी
अवाकाडो
अस्टर
आंबट चुका
आईसबर्ग
आले
आले (सुंठ)
आवळा
आवळा
उडीद
उडीद डाळ
उस
एरंडी
कडबा
कढिपत्ता
करडई
करडई (भाजी)
कलिंगड
कांदा
कांदा पात
काकडी
कागडा
काजू
कारली
कार्नेशन
कालवड
कुलथी
केळी
केळी (कच्ची)
कैरी
कोंबडी
कोथिंबिर
कोबी
कोहळा
खपली
खरबुज
गलटॅाप
गवार
गहू
गाजर
गाय
गुलछडी/निशिगंध
गुलाब
गुळ
गोल्डन / डि.जी
ग्लॅडीओ
घेवडा
घेवडा बी
घोसाळी (भाजी)
चवळी (पाला)
चवळी (शेंगा)
चवळी बी
चाकवत
चाफा
चायना कोबी
चायनिझ लसूण
चिंच
चिकु
चेरी टोमॅटो
जरबेरा
जवस
जास्वंद
जिप्सि
जिरे
जुई
ज्वारी
झुचीनी
झेंडू
टरबूज
टॅटस
टोमॅटो
डाळींब
ढेमसे
ढोबळी मिरची (लाल)
ढोवळी मिरची
तांदुळजा
तांदूळ
तील
तुळजापुरी
तूप
तूर
तूर डाळ
तोंडली
दालचिनी
दुधी भोपळा
दोडका (शिराळी)
द्राक्ष
धने
नवलकोल
नाचणी/ नागली
नारळ
नासपती
पडवळ
पपई
पपई (भाजी)
परवर
पालक
पावटा
पावटा (भाजी)
पिकेडोर
पिस्ता
पुदिना
पेअर
पेरु
पोकचा
प्लम
फणस (भाजी)
फरशी
फरस बी
फ्लॉवर
बकरा
बटबटी
बटाटा
बडिशेप
बदाम
बाजरी
बिजली
बीट
बेदाणा
बेबी कॉर्न
बैल
बोकड
बोर
ब्रोकोली
भगर
भात - धान
भुईमुग शेंग (ओली)
भुईमुग शेंग (सुकी)
भेडी
भोपळा
मका
मका (कणीस)
मटकी
मटार
मसूर
मसूर डाळ
मिरची (लाल)
मिरची (हिरवी)
मिरे
मुळा
मूग
मूग डाळ
मेंढ्या
मेथी बी
मेथी भाजी
मोगरा
मोसंबी
मोहरी
म्हैस
रताळी
राई(मोहरी भाजी)
राजगिरा
राजगिरा
रेडा
रेशीम कोष
लसूण
लसूण (सुका)
लिंबू
वांगी
वाटाणा
वाल
वाल पापडी
वाल भाजी
वालवड
वेलची
शहाळे
शेंगदाणे
शेपू
शेळ्या
शेवंती
शेवगा
संत्री
सफरचंद
सरसव
साखर
साबुदाणा
सिताफळ
सुपारी
सुरण
सुर्यफुल
सॅलड
सोयाबिन
हरभरा
हरभरा डाळ
हळद/ हळकुंड"
पुणे-मोशी,लोकल,क्विंटल,743,600,1600,1100,"कृपया शेतमाल निवडा :
शेतमाल निवडा
अंजीर
अंजीर (सुके)
अंबाडी भाजी
अननस
अर्वी
अवाकाडो
अस्टर
आंबट चुका
आईसबर्ग
आले
आले (सुंठ)
आवळा
आवळा
उडीद
उडीद डाळ
उस
एरंडी
कडबा
कढिपत्ता
करडई
करडई (भाजी)
कलिंगड
कांदा
कांदा पात
काकडी
कागडा
काजू
कारली
कार्नेशन
कालवड
कुलथी
केळी
केळी (कच्ची)
कैरी
कोंबडी
कोथिंबिर
कोबी
कोहळा
खपली
खरबुज
गलटॅाप
गवार
गहू
गाजर
गाय
गुलछडी/निशिगंध
गुलाब
गुळ
गोल्डन / डि.जी
ग्लॅडीओ
घेवडा
घेवडा बी
घोसाळी (भाजी)
चवळी (पाला)
चवळी (शेंगा)
चवळी बी
चाकवत
चाफा
चायना कोबी
चायनिझ लसूण
चिंच
चिकु
चेरी टोमॅटो
जरबेरा
जवस
जास्वंद
जिप्सि
जिरे
जुई
ज्वारी
झुचीनी
झेंडू
टरबूज
टॅटस
टोमॅटो
डाळींब
ढेमसे
ढोबळी मिरची (लाल)
ढोवळी मिरची
तांदुळजा
तांदूळ
तील
तुळजापुरी
तूप
तूर
तूर डाळ
तोंडली
दालचिनी
दुधी भोपळा
दोडका (शिराळी)
द्राक्ष
धने
नवलकोल
नाचणी/ नागली
नारळ
नासपती
पडवळ
पपई
पपई (भाजी)
परवर
पालक
पावटा
पावटा (भाजी)
पिकेडोर
पिस्ता
पुदिना
पेअर
पेरु
पोकचा
प्लम
फणस (भाजी)
फरशी
फरस बी
फ्लॉवर
बकरा
बटबटी
बटाटा
बडिशेप
बदाम
बाजरी
बिजली
बीट
बेदाणा
बेबी कॉर्न
बैल
बोकड
बोर
ब्रोकोली
भगर
भात - धान
भुईमुग शेंग (ओली)
भुईमुग शेंग (सुकी)
भेडी
भोपळा
मका
मका (कणीस)
मटकी
मटार
मसूर
मसूर डाळ
मिरची (लाल)
मिरची (हिरवी)
मिरे
मुळा
मूग
मूग डाळ
मेंढ्या
मेथी बी
मेथी भाजी
मोगरा
मोसंबी
मोहरी
म्हैस
रताळी
राई(मोहरी भाजी)
राजगिरा
राजगिरा
रेडा
रेशीम कोष
लसूण
लसूण (सुका)
लिंबू
वांगी
वाटाणा
वाल
वाल पापडी
वाल भाजी
वालवड
वेलची
शहाळे
शेंगदाणे
शेपू
शेळ्या
शेवंती
शेवगा
संत्री
सफरचंद
सरसव
साखर
साबुदाणा
सिताफळ
सुपारी
सुरण
सुर्यफुल
सॅलड
सोयाबिन
हरभरा
हरभरा डाळ
हळद/ हळकुंड"
रामटेक,उन्हाळी,क्विंटल,40,1000,1300,1100,"कृपया शेतमाल निवडा :
शेतमाल निवडा
अंजीर
अंजीर (सुके)
अंबाडी भाजी
अननस
अर्वी
अवाकाडो
अस्टर
आंबट चुका
आईसबर्ग
आले
आले (सुंठ)
आवळा
आवळा
उडीद
उडीद डाळ
उस
एरंडी
कडबा
कढिपत्ता
करडई
करडई (भाजी)
कलिंगड
कांदा
कांदा पात
काकडी
कागडा
काजू
कारली
कार्नेशन
कालवड
कुलथी
केळी
केळी (कच्ची)
कैरी
कोंबडी
कोथिंबिर
कोबी
कोहळा
खपली
खरबुज
गलटॅाप
गवार
गहू
गाजर
गाय
गुलछडी/निशिगंध
गुलाब
गुळ
गोल्डन / डि.जी
ग्लॅडीओ
घेवडा
घेवडा बी
घोसाळी (भाजी)
चवळी (पाला)
चवळी (शेंगा)
चवळी बी
चाकवत
चाफा
चायना कोबी
चायनिझ लसूण
चिंच
चिकु
चेरी टोमॅटो
जरबेरा
जवस
जास्वंद
जिप्सि
जिरे
जुई
ज्वारी
झुचीनी
झेंडू
टरबूज
टॅटस
टोमॅटो
डाळींब
ढेमसे
ढोबळी मिरची (लाल)
ढोवळी मिरची
तांदुळजा
तांदूळ
तील
तुळजापुरी
तूप
तूर
तूर डाळ
तोंडली
दालचिनी
दुधी भोपळा
दोडका (शिराळी)
द्राक्ष
धने
नवलकोल
नाचणी/ नागली
नारळ
नासपती
पडवळ
पपई
पपई (भाजी)
परवर
पालक
पावटा
पावटा (भाजी)
पिकेडोर
पिस्ता
पुदिना
पेअर
पेरु
पोकचा
प्लम
फणस (भाजी)
फरशी
फरस बी
फ्लॉवर
बकरा
बटबटी
बटाटा
बडिशेप
बदाम
बाजरी
बिजली
बीट
बेदाणा
बेबी कॉर्न
बैल
बोकड
बोर
ब्रोकोली
भगर
भात - धान
भुईमुग शेंग (ओली)
भुईमुग शेंग (सुकी)
भेडी
भोपळा
मका
मका (कणीस)
मटकी
मटार
मसूर
मसूर डाळ
मिरची (लाल)
मिरची (हिरवी)
मिरे
मुळा
मूग
मूग डाळ
मेंढ्या
मेथी बी
मेथी भाजी
मोगरा
मोसंबी
मोहरी
म्हैस
रताळी
राई(मोहरी भाजी)
राजगिरा
राजगिरा
रेडा
रेशीम कोष
लसूण
लसूण (सुका)
लिंबू
वांगी
वाटाणा
वाल
वाल पापडी
वाल भाजी
वालवड
वेलची
शहाळे
शेंगदाणे
शेपू
शेळ्या
शेवंती
शेवगा
संत्री
सफरचंद
सरसव
साखर
साबुदाणा
सिताफळ
सुपारी
सुरण
सुर्यफुल
सॅलड
सोयाबिन
हरभरा
हरभरा डाळ
हळद/ हळकुंड"
